"r0","Development",
"es","4a","Unknown",
"es","4b","Unknown",
"es","4c","Unknown",
"es","4d","Unknown",
"es","4f","Unknown",
"es","50","Unknown",
"es","51","Unknown",
"es","52","Unknown",
"es","53","Unknown",
"es","54","Unknown",
"es","55","Unknown",
"es","56","Unknown",
"es","5a","Unknown",
"es","5b","Unknown",
"es","5c","Unknown",
"es","5d","Unknown",
"es","5e","Unknown",
"es","5f","Unknown",
"es","60","Unknown",
"es","61","Unknown",
"es","62","Unknown",
"es","63","Unknown",
"es","64","Unknown",
"es","65","Unknown",
"es","66","Unknown",
"es","67","Unknown",
"es","68","Unknown",
"es","69","Unknown",
"es","6a","Unknown",
"es","6b","Unknown",
"es","6c","Unknown",
"es","6d","Unknown",
"es","6e","Unknown",
"es","6f","Unknown",
"es","70","Unknown",
"es","71","Unknown",
"es","72","Unknown",
"es","73","Unknown",
"es","74","Unknown",
"es","75","Unknown",
"es","76","Unknown",
"es","77","Unknown",
"es","78","Unknown",
"es","79","Unknown",
"es","7a","Unknown",
"es","7b","Unknown",
"es","7c","Unknown",
"es","7d","Unknown",
"es","7e","Unknown",
"es","7f","Unknown",
"es","80","Unknown",
"es","81","Unknown",
"es","82","Unknown",
"es","83","Unknown",
"es","84","Unknown",
"es","85","Unknown",
"es","86","Unknown",
"es","87","Unknown",
"es","88","Unknown",
"es","89","Unknown",
"es","8a","Unknown",
"es","8b","Unknown",
"es","8c","Unknown",
"es","8d","Unknown",
"es","8e","Unknown",
"es","8f","Unknown",
"es","90","Unknown",
"es","91","Unknown",
"es","92","Unknown",
"es","93","Unknown",
"es","d0","Unknown",
"es","e0","Unknown",
"es","e1","Unknown",
"es","e2","Unknown",
"es","e3","Unknown",
"es","e4","Unknown",
"es","e5","Unknown",
"es","e6","Unknown",
"es","e7","Unknown",
"es","e8","Unknown",
"es","e9","Unknown",
"es","ea","Unknown",
"es","eb","Unknown",
"es","ec","Unknown",
"es","ed","Unknown",
"es","ee","Unknown",
"es","ef","Unknown",
"es","f0","Unknown",
"es","f1","Unknown",
"es","f2","Unknown",
"es","f3","Unknown",
"es","f4","Unknown",
"es","f5","Unknown",
"es","f6","Unknown",
"es","f7","Unknown",
"es","f8","Unknown",
"es","f9","Unknown",
"es","fa","Unknown",
"es","fb","Unknown",
"es","fc","Unknown",
"es","fd","Unknown",
"es","fe","Unknown",

"et","Unknown",
"et","00","Unknown",
"et","01","Unknown",
"et","02","Unknown",
"et","03","Unknown",
"et","04","Unknown",
"et","05","Unknown",
"et","06","Unknown",
"et","07","Unknown",
"et","08","Unknown",
"et","09","Unknown",
"et","0a","Unknown",
"et","0b","Unknown",
"et","0c","Unknown",
"et","0d","Unknown",
"et","0e","Unknown",
"et","0f","Unknown",
"et","10","Unknown",
"et","11","Unknown",
"et","12","Unknown",
"et","15","Unknown",
"et","16","Unknown",
"et","17","Unknown",
"et","18","Unknown",
"et","19","Unknown",
"et","1b","Unknown",
"et","1c","Unknown",
"et","1d","Unknown",
"et","1e","Unknown",
"et","1f","Unknown",
"et","20","Unknown",
"et","21","Unknown",
"et","22","Unknown",
"et","23","Unknown",
"et","24","Unknown",
"et","25","Unknown",
"et","26","Unknown",
"et","27","Unknown",
"et","28","Unknown",
"et","29","Unknown",
"et","2a","Unknown",
"et","2b","Unknown",
"et","2d","Unknown",
"et","2e","Unknown",
"et","2f","Unknown",
"et","30","Unknown",
"et","31","Unknown",
"et","32","Unknown",
"et","33","Unknown",
"et","34","Unknown",
"et","35","Unknown",
"et","36","Unknown",
"et","37","Unknown",
"et","38","Unknown",
"et","39","Unknown",
"et","3a","Unknown",
"et","3b","Unknown",
"et","3c","Unknown",
"et","3d","Unknown",
"et","3e","Unknown",
"et","3f","Unknown",
"et","40","Unknown",
"et","41","Unknown",
"et","42","Unknown",
"et","43","Unknown",
"et","44","Unknown",
"et","45","Unknown",
"et","46","Unknown",
"et","47","Unknown",
"et","4a","Unknown",
"et","4b","Unknown",
"et","4c","Unknown",
"et","4d","Unknown",
"et","4e","Unknown",
"et","4f","Unknown",
"et","50","Unknown",
"et","51","Unknown",
"et","52","Unknown",
"et","53","Unknown",
"et","54","Unknown",
"et","55","Unknown",
"et","56","Unknown",
"et","57","Unknown",
"et","58","Unknown",
"et","59","Unknown",
"et","5a","Unknown",
"et","5b","Unknown",
"et","5d","Unknown",
"et","60","Unknown",
"et","61","Unknown",
"et","62","Unknown",
"et","63","Unknown",
"et","64","Unknown",
"et","65","Unknown",
"et","66","Unknown",
"et","67","Unknown",
"et","68","Unknown",
"et","69","Unknown",
"et","6a","Unknown",
"et","6b","Unknown",
"et","6c","Unknown",
"et","6d","Unknown",
"et","6e","Unknown",
"et","6f","Unknown",
"et","70","Unknown",
"et","71","Unknown",
"et","72","Unknown",
"et","73","Unknown",
"et","74","Unknown",
"et","75","Unknown",
"et","76","Unknown",
"et","77","Unknown",
"et","78","Unknown",
"et","79","Unknown",
"et","7a","Unknown",
"et","7b","Unknown",
"et","7d","Unknown",
"et","7e","Unknown",
"et","7f","Unknown",
"et","80","Unknown",
"et","81","Unknown",
"et","82","Unknown",
"et","83","Unknown",
"et","84","Unknown",
"et","85","Unknown",
"et","86","Unknown",
"et","87","Unknown",
"et","88","Unknown",
"et","89","Unknown",
"et","8a","Unknown",
"et","8b","Unknown",
"et","8c","Unknown",
"et","8d","Unknown",
"et","8e","Unknown",
"et","8f","Unknown",
"et","90","Unknown",
"et","91","Unknown",
"et","92","Unknown",
"et","93","Unknown",
"et","94","Unknown",
"et","95","Unknown",
"et","96","Unknown",
"et","97","Unknown",
"et","98","Unknown",
"et","99","Unknown",
"et","9a","Unknown",
"et","9b","Unknown",
"et","9c","Unknown",
"et","9d","Unknown",
"et","9e","Unknown",
"et","9f","Unknown",
"et","a0","Unknown",
"et","a1","Unknown",
"et","a2","Unknown",
"et","a3","Unknown",
"et","a4","Unknown",
"et","a5","Unknown",
"et","a6","Unknown",
"et","a7","Unknown",
"et","a8","Unknown",
"et","a9","Unknown",
"et","aa","Unknown",
"et","ab","Unknown",
"et","ac","Unknown",
"et","ad","Unknown",
"et","ae","Unknown",
"et","af","Unknown",
"et","b0","Unknown",
"et","b1","Unknown",
"et","b2","Unknown",
"et","b3","Unknown",
"et","b4","Unknown",
"et","b5","Unknown",
"et","b6","Unknown",
"et","b7","Unknown",
"et","b8","Unknown",
"et","b9","Unknown",
"et","bb","Unknown",
"et","bc","Unknown",
"et","bd","Unknown",
"et","be","Unknown",
"et","bf","Unknown",
"et","c0","Unknown",
"et","c1","Unknown",
"et","c2","Unknown",
"et","c3","Unknown",
"et","c4","Unknown",
"et","c5","Unknown",
"et","c6","Unknown",
"et","c7","Unknown",
"et","c8","Unknown",
"et","c9","Unknown",
"et","ca","Unknown",
"et","cb","Unknown",
"et","cc","Unknown",
"et","cd","Unknown",
"et","ce","Unknown",
"et","cf","Unknown",
"et","d0","Unknown",
"et","d1","Unknown",
"et","d2","Unknown",
"et","d3","Unknown",
"et","d4","Unknown",
"et","d5","Unknown",
"et","d6","Unknown",
"et","d7","Unknown",
"et","d8","Unknown",
"et","d9","Unknown",
"et","da","Unknown",
"et","db","Unknown",
"et","dc","Unknown",
"et","dd","Unknown",
"et","de","Unknown",
"et","df","Unknown",
"et","e1","Unknown",
"et","e2","Unknown",
"et","e3","Unknown",
"et","e4","Unknown",
"et","e5","Unknown",
"et","e6","Unknown",
"et","e7","Unknown",
"et","e8","Unknown",
"et","e9","Unknown",
"et","ea","Unknown",
"et","eb","Unknown",
"et","ec","Unknown",
"et","f1","Unknown",
"et","f2","Unknown",
"et","f3","Unknown",
"et","f4","Unknown",

"gt","Unknown",
"gt","00","Unknown",
"gt","01","Unknown",
"gt","02","Unknown",
"gt","03","Unknown",
"gt","10","Unknown",
"gt","11","Unknown",
"gt","12","Unknown",
"gt","13","Unknown",
"gt","14","Unknown",
"gt","15","Unknown",
"gt","18","Unknown",
"gt","19","Unknown",
"gt","1c","Unknown",
"gt","1d","Unknown",
"gt","1e","Unknown",
"gt","1f","Unknown",
"gt","20","Unknown",
"gt","21","Unknown",
"gt","22","Unknown",
"gt","23","Unknown",
"gt","24","Unknown",
"gt","25","Unknown",
"gt","30","Unknown",
"gt","31","Unknown",
"gt","32","Unknown",
"gt","33","Unknown",
"gt","34","Unknown",
"gt","35","Unknown",
"gt","36","Unknown",
"gt","37","Unknown",
"gt","38","Unknown",
"gt","39","Unknown",
"gt","3a","Unknown",
"gt","3b","Unknown",
"gt","3c","Unknown",
"gt","3d","Unknown",
"gt","3e","Unknown",
"gt","3f","Unknown",
"gt","40","Unknown",
"gt","41","Unknown",
"gt","42","Unknown",
"gt","43","Unknown",
"gt","44","Unknown",
"gt","45","Unknown",
"gt","46","Unknown",
"gt","47","Unknown",
"gt","71","Unknown",
"gt","73","Unknown",
"gt","75","Unknown",
"gt","77","Unknown",
"gt","79","Unknown",
"gt","7b","Unknown",
"gt","7d","Unknown",
"gt","fb","Unknown",
"gt","fc","Unknown",
"gt","fd","Unknown",
"gt","fe","Unknown",
"gt","ff","Unknown",

"us","Unknown",
"us","00","Unknown",
"us","01","Unknown",
"us","03","Unknown",
"us","04","Unknown",
"us","05","Unknown",
"us","06","Unknown",
"us","07","Unknown",
"us","08","Unknown",
"us","09","Unknown",
"us","0a","Unknown",
"us","0b","Unknown",
"us","0c","Unknown",
"us","0d","Unknown",
"us","0f","Unknown",
"us","10","Unknown",
"us","11","Unknown",
"us","12","Unknown",
"us","13","Unknown",
"us","14","Unknown",
"us","15","Unknown",
"us","16","Unknown",
"us","18","Unknown",
"us","1a","Unknown",
"us","1b","Unknown",
"us","1c","Unknown",
"us","1d","Unknown",
"us","1e","Unknown",
"us","1f","Unknown",
"us","20","Unknown",
"us","21","Unknown",
"us","22","Unknown",
"us","23","Unknown",
"us","24","Unknown",
"us","25","Unknown",
"us","26","Unknown",
"us","27","Unknown",
"us","28","Unknown",
"us","2a","Unknown",
"us","2b","Unknown",
"us","2c","Unknown",
"us","2d","Unknown",
"us","2e","Unknown",
"us","2f","Unknown",
"us","31","Unknown",
"us","32","Unknown",
"us","34","Unknown",
"us","35","Unknown",
"us","36","Unknown",
"us","37","Unknown",
"us","38","Unknown",
"us","39","Unknown",
"us","3a","Unknown",
"us","3b","Unknown",
"us","3c","Unknown",
"us","3d","Unknown",
"us","40","Unknown",
"us","41","Unknown",
"us","45","Unknown",
"us","50","Unknown",
"us","51","Unknown",
"us","52","Unknown",
"us","53","Unknown",
"us","54","Unknown",
"us","56","Unknown",
"us","59","Unknown",
"us","5a","Unknown",
"us","5b","Unknown",
"us","5c","Unknown",
"us","60","Unknown",
"us","61","Unknown",
"us","62","Unknown",
"us","63","Unknown",
"us","64","Unknown",
"us","65","Unknown",
"us","67","Unknown",
"us","68","Unknown",
"us","6a","Unknown",
"us","6b","Unknown",
"us","6c","Unknown",
"us","6d","Unknown",
"us","6e","Unknown",
"us","6f","Unknown",
"us","70","Unknown",
"us","71","Unknown",
"us","72","Unknown",
"us","73","Unknown",
"us","74","Unknown",
"us","75","Unknown",
"us","76","Unknown",
"us","77","Unknown",
"us","78","Unknown",
"us","79","Unknown",
"us","7a","Unknown",
"us","7c","Unknown",
"us","7e","Unknown",
"us","7f","Unknown",
"us","80","Unknown",
"us","81","Unknown",
"us","82","Unknown",
"us","83","Unknown",
"us","84","Unknown",
"us","85","Unknown",
"us","86","Unknown",
"us","87","Unknown",
"us","88","Unknown",
"us","90","Unknown",
"us","91","Unknown",
"us","92","Unknown",
"us","9b","Unknown",
"us","9c","Unknown",
"us","a0","Unknown",
"us","a1","Unknown",
"us","a2","Unknown",
"us","a3","Unknown",
"us","a4","Unknown",
"us","a5","Unknown",
"us","a6","Unknown",
"us","a7","Unknown",
"us","a8","Unknown",
"us","aa","Unknown",
"us","ae","Unknown",
"us","af","Unknown",
"us","b0","Unknown",
"us","b1","Unknown",
"us","b2","Unknown",
"us","b3","Unknown",
"us","b4","Unknown",
"us","b5","Unknown",
"us","b6","Unknown",
"us","b7","Unknown",
"us","b8","Unknown",
"us","b9","Unknown",
"us","ba","Unknown",
"us","bb","Unknown",
"us","bc","Unknown",
"us","bd","Unknown",
"us","be","Unknown",
"us","bf","Unknown",
"us","c0","Unknown",
"us","c1","Unknown",
"us","c2","Unknown",
"us","c3","Unknown",
"us","c4","Unknown",
"us","c5","Unknown",
"us","c6","Unknown",
"us","c7","Unknown",
"us","c8","Unknown",
"us","ca","Unknown",
"us","cb","Unknown",
"us","cc","Unknown",
"us","cd","Unknown",
"us","ce","Unknown",
"us","d0","Unknown",
"us","d1","Unknown",
"us","d2","Unknown",
"us","d3","Unknown",
"us","d4","Unknown",
"us","d5","Unknown",
"us","d6","Unknown",
"us","e0","Unknown",
"us","e1","Unknown",
"us","e2","Unknown",
"us","e3","Unknown",
"us","e4","Unknown",
"us","e5","Unknown",
"us","e6","Unknown",
"us","e7","Unknown",
"us","e8","Unknown",
"us","e9","Unknown",
"us","ea","Unknown",
"us","eb","Unknown",
"us","ec","Unknown",
"us","ed","Unknown",
"us","ee","Unknown",
"us","ef","Unknown",

"ut","Unknown",
"ut","00","Unknown",
"ut","01","Unknown",
"ut","02","Unknown",
"ut","04","Unknown",
"ut","05","Unknown",
"ut","06","Unknown",
"ut","07","Unknown",
"ut","08","Unknown",
"ut","09","Unknown",
"ut","0a","Unknown",
"ut","0c","Unknown",
"ut","0e","Unknown",
"ut","0f","Unknown",
"ut","10","Unknown",
"ut","11","Unknown",
"ut","12","Unknown",
"ut","13","Unknown",
"ut","14","Unknown",
"ut","15","Unknown",
"ut","16","Unknown",
"ut","17","Unknown",
"ut","18","Unknown",
"ut","19","Unknown",
"ut","1a","Unknown",
"ut","1b","Unknown",
"ut","1c","Unknown",
"ut","1d","Unknown",
"ut","1e","Unknown",
"ut","1f","Unknown",
"ut","20","Unknown",
"ut","21","Unknown",
"ut","22","Unknown",
"ut","23","Unknown",
"ut","24","Unknown",
"ut","25","Unknown",
"ut","26","Unknown",
"ut","27","Unknown",
"ut","28","Unknown",
"ut","29","Unknown",
"ut","2a","Unknown",
"ut","2b","Unknown",
"ut","2c","Unknown",
"ut","2d","Unknown",
"ut","2e","Unknown",
"ut","2f","Unknown",
"ut","30","Unknown",
"ut","31","Unknown",
"ut","32","Unknown",
"ut","33","Unknown",
"ut","34","Unknown",
"ut","35","Unknown",
"ut","36","Unknown",
"ut","37","Unknown",
"ut","38","Unknown",
"ut","39","Unknown",
"ut","3a","Unknown",
"ut","3b","Unknown",
"ut","3c","Unknown",
"ut","3d","Unknown",
"ut","3e","Unknown",
"ut","3f","Unknown",
"ut","40","Unknown",
"ut","41","Unknown",
"ut","42","Unknown",
"ut","43","Unknown",
"ut","44","Unknown",
"ut","45","Unknown",
"ut","46","Unknown",
"ut","47","Unknown",
"ut","48","Unknown",
"ut","49","Unknown",
"ut","4a","Unknown",
"ut","4b","Unknown",
"ut","4c","Unknown",
"ut","4d","Unknown",
"ut","4e","Unknown",
"ut","4f","Unknown",
"ut","51","Unknown",
"ut","52","Unknown",
"ut","53","Unknown",
"ut","54","Unknown",
"ut","55","Unknown",
"ut","56","Unknown",
"ut","57","Unknown",
"ut","58","Unknown",
"ut","59","Unknown",
"ut","5a","Unknown",
"ut","5c","Unknown",
"ut","5d","Unknown",
"ut","5e","Unknown",
"ut","5f","Unknown",
"ut","60","Unknown",
"ut","61","Unknown",
"ut","63","Unknown",
"ut","64","Unknown",
"ut","65","Unknown",
"ut","66","Unknown",
"ut","67","Unknown",
"ut","68","Unknown",
"ut","69","Unknown",
"ut","6a","Unknown",
"ut","6b","Unknown",
"ut","6c","Unknown",
"ut","6d","Unknown",
"ut","6e","Unknown",
"ut","6f","Unknown",
"ut","70","Unknown",
"ut","71","Unknown",
"ut","72","Unknown",
"ut","73","Unknown",
"ut","74","Unknown",
"ut","75","Unknown",
"ut","76","Unknown",
"ut","77","Unknown",
"ut","78","Unknown",
"ut","79","Unknown",
"ut","7a","Unknown",
"ut","7b","Unknown",
"ut","7c","Unknown",
"ut","7f","Unknown",
"ut","80","Unknown",
"ut","81","Unknown",
"ut","82","Unknown",
"ut","83","Unknown",
"ut","84","Unknown",
"ut","85","Unknown",
"ut","86","Unknown",
"ut","87","Unknown",
"ut","88","Unknown",
"ut","89","Unknown",
"ut","8a","Unknown",
"ut","8b","Unknown",
"ut","8c","Unknown",
"ut","8d","Unknown",
"ut","8e","Unknown",
"ut","8f","Unknown",
"ut","90","Unknown",
"ut","91","Unknown",
"ut","92","Unknown",
"ut","93","Unknown",
"ut","94","Unknown",
"ut","95","Unknown",
"ut","96","Unknown",
"ut","97","Unknown",
"ut","98","Unknown",
"ut","99","Unknown",
"ut","9a","Unknown",
"ut","9b","Unknown",
"ut","9d","Unknown",
"ut","9e","Unknown",
"ut","9f","Unknown",
"ut","a0","Unknown",
"ut","a1","Unknown",
"ut","a2","Unknown",
"ut","a3","Unknown",
"ut","a4","Unknown",
"ut","a5","Unknown",
"ut","a6","Unknown",
"ut","a7","Unknown",
"ut","a8","Unknown",
"ut","a9","Unknown",
"ut","aa","Unknown",
"ut","ab","Unknown",
"ut","ac","Unknown",
"ut","ad","Unknown",
"ut","ae","Unknown",
"ut","af","Unknown",
"ut","b0","Unknown",
"ut","b1","Unknown",
"ut","b2","Unknown",
"ut","b3","Unknown",
"ut","b4","Unknown",
"ut","b5","Unknown",
"ut","b6","Unknown",
"ut","b7","Unknown",
"ut","b8","Unknown",
"ut","b9","Unknown",
"ut","ba","Unknown",
"ut","bb","Unknown",
"ut","bc","Unknown",
"ut","bd","Unknown",
"ut","be","Unknown",
"ut","bf","Unknown",
"ut","c0","Unknown",
"ut","c1","Unknown",
"ut","c2","Unknown",
"ut","c3","Unknown",
"ut","c4","Unknown",
"ut","c5","Unknown",
"ut","c6","Unknown",
"ut","c7","Unknown",
"ut","c8","Unknown",
"ut","c9","Unknown",
"ut","ca","Unknown",
"ut","cb","Unknown",
"ut","cc","Unknown",
"ut","cd","Unknown",
"ut","ce","Unknown",
"ut","cf","Unknown",
"ut","d0","Unknown",
"ut","d1","Unknown",
"ut","d2","Unknown",
"ut","d3","Unknown",
"ut","d4","Unknown",
"ut","d5","Unknown",
"ut","d6","Unknown",
"ut","d7","Unknown",
"ut","d8","Unknown",
"ut","d9","Unknown",
"ut","da","Unknown",
"ut","db","Unknown",
"ut","dc","Unknown",
"ut","dd","Unknown",
"ut","de","Unknown",
"ut","df","Unknown",
"ut","e0","Unknown",
"ut","e1","Unknown",
"ut","e2","Unknown",
"ut","e3","Unknown",
"ut","e4","Unknown",
"ut","e5","Unknown",
"ut","e7","Unknown",
"ut","e8","Unknown",
"ut","e9","Unknown",
"ut","ea","Unknown",
"ut","eb","Unknown",
"ut","ec","Unknown",
"ut","ed","Unknown",
"ut","ee","Unknown",
"ut","ef","Unknown",
"ut","f0","Unknown",
"ut","f1","Unknown",
"ut","f2","Unknown",
"ut","f3","Unknown",
"ut","f4","Unknown",
"ut","f6","Unknown",
"ut","f7","Unknown",
"ut","f8","Unknown",
"ut","f9","Unknown",
"ut","fa","Unknown",
"ut","fb","Unknown",
"ut","fc","Unknown",
"ut","fd","Unknown",
"ut","fe","Unknown",
"ut","ff","Unknown",

"vt","Unknown",
"vt","00","Unknown",
"vt","01","Unknown",
"vt","02","Unknown",
"vt","03","Unknown",
"vt","04","Unknown",
"vt","05","Unknown",
"vt","06","Unknown",
"vt","07","Unknown",
"vt","08","Unknown",
"vt","09","Unknown",
"vt","0a","Unknown",
"vt","0b","Unknown",
"vt","0c","Unknown",
"vt","0d","Unknown",
"vt","0e","Unknown",
"vt","0f","Unknown",
"vt","10","Unknown",
"vt","11","Unknown",
"vt","12","Unknown",
"vt","13","Unknown",
"vt","14","Unknown",
"vt","15","Unknown",
"vt","16","Unknown",
"vt","17","Unknown",
"vt","18","Unknown",
"vt","19","Unknown",
"vt","1a","Unknown",
"vt","1b","Unknown",
"vt","1c","Unknown",
"vt","1d","Unknown",
"vt","1e","Unknown",
"vt","1f","Unknown",
"vt","20","Unknown",
"vt","21","Unknown",
"vt","22","Unknown",
"vt","23","Unknown",
"vt","24","Unknown",
"vt","25","Unknown",
"vt","26","Unknown",
"vt","27","Unknown",
"vt","28","Unknown",
"vt","29","Unknown",
"vt","2a","Unknown",
"vt","2b","Unknown",
"vt","2c","Unknown",
"vt","2d","Unknown",
"vt","2e","Unknown",
"vt","2f","Unknown",
"vt","30","Unknown",
"vt","31","Unknown",
"vt","32","Unknown",
"vt","33","Unknown",
"vt","34","Unknown",
"vt","35","Unknown",
"vt","36","Unknown",
"vt","37","Unknown",
"vt","38","Unknown",
"vt","39","Unknown",
"vt","3a","Unknown",
"vt","3b","Unknown",
"vt","3c","Unknown",
"vt","3d","Unknown",
"vt","3e","Unknown",
"vt","3f","Unknown",
"vt","40","Unknown",
"vt","41","Unknown",
"vt","42","Unknown",
"vt","44","Unknown",
"vt","45","Unknown",
"vt","46","Unknown",
"vt","47","Unknown",
"vt","48","Unknown",
"vt","49","Unknown",
"vt","4a","Unknown",
"vt","4b","Unknown",
"vt","4c","Unknown",
"vt","4d","Unknown",
"vt","4e","Unknown",
"vt","4f","Unknown",
"vt","50","Unknown",
"vt","51","Unknown",
"vt","53","Unknown",
"vt","54","Unknown",
"vt","55","Unknown",
"vt","56","Unknown",
"vt","57","Unknown",
"vt","58","Unknown",
"vt","59","Unknown",
"vt","5a","Unknown",
"vt","5b","Unknown",
"vt","5c","Unknown",
"vt","5d","Unknown",
"vt","5e","Unknown",
"vt","5f","Unknown",
"vt","60","Unknown",
"vt","61","Unknown",
"vt","62","Unknown",
"vt","63","Unknown",
"vt","64","Unknown",
"vt","65","Unknown",
"vt","66","Unknown",
"vt","67","Unknown",
"vt","68","Unknown",
"vt","69","Unknown",
"vt","6a","Unknown",
"vt","6b","Unknown",
"vt","6c","Unknown",
"vt","6d","Unknown",
"vt","6e","Unknown",
"vt","6f","Unknown",
"vt","70","Unknown",
"vt","71","Unknown",
"vt","74","Unknown",
"vt","75","Unknown",
"vt","76","Unknown",
"vt","77","Unknown",
"vt","78","Unknown",
"vt","79","Unknown",
"vt","7a","Unknown",
"vt","7b","Unknown",
"vt","7c","Unknown",
"vt","7d","Unknown",
"vt","7e","Unknown",
"vt","7f","Unknown",
"vt","80","Unknown",
"vt","81","Unknown",
"vt","82","Unknown",
"vt","83","Unknown",
"vt","85","Unknown",
"vt","86","Unknown",
"vt","87","Unknown",
"vt","88","Unknown",
"vt","8d","Unknown",
"vt","8e","Unknown",
"vt","8f","Unknown",
"vt","90","Unknown",
"vt","91","Unknown",
"vt","92","Unknown",
"vt","93","Unknown",
"vt","99","Unknown",
"vt","9a","Unknown",
"vt","9b","Unknown",
"vt","9c","Unknown",
"vt","9d","Unknown",
"vt","9e","Unknown",
"vt","9f","Unknown",
"vt","a0","Unknown",
"vt","a1","Unknown",
"vt","a2","Unknown",
"vt","a3","Unknown",
"vt","a4","Unknown",
"vt","a5","Unknown",
"vt","a6","Unknown",
"vt","a7","Unknown",
"vt","a8","Unknown",
"vt","a9","Unknown",
"vt","aa","Unknown",
"vt","ab","Unknown",
"vt","ac","Unknown",
"vt","ad","Unknown",
"vt","ae","Unknown",
"vt","af","Unknown",
"vt","b0","Unknown",
"vt","b1","Unknown",
"vt","b2","Unknown",
"vt","b3","Unknown",
"vt","b4","Unknown",
"vt","b5","Unknown",
"vt","b8","Unknown",
"vt","ba","Unknown",
"vt","c0","Unknown",
"vt","c1","Unknown",
"vt","c2","Unknown",
"vt","c3","Unknown",
"vt","c4","Unknown",
"vt","c5","Unknown",
"vt","c6","Unknown",
"vt","c7","Unknown",
"vt","c8","Unknown",
"vt","ca","Unknown",
"vt","cb","Unknown",
"vt","cf","Unknown",
"vt","d0","Unknown",
"vt","d1","Unknown",
"vt","d2","Unknown",
"vt","d3","Unknown",
"vt","d4","Unknown",
"vt","d7","Unknown",
"vt","d8","Unknown",
"vt","d9","Unknown",
"vt","da","Unknown",
"vt","e0","Unknown",
"vt","e1","Unknown",
"vt","e2","Unknown",
"vt","e3","Unknown",
"vt","e4","Unknown",
"vt","e5","Unknown",
"vt","e6","Unknown",
"vt","e7","Unknown",
"vt","e8","Unknown",
"vt","f0","Unknown",
"vt","f1","Unknown",
"vt","f3","Unknown",
"vt","f4","Unknown",
"vt","f5","Unknown",
"vt","f6","Unknown",
"vt","f7","Unknown",
"vt","fa","Unknown",

"wp","Weapons",
"wp","00","Weapons",
"wp","01","Weapons",
"wp","02","Weapons",
"wp","03","Weapons",
"wp","04","Weapons",
"wp","05","Weapons",
"wp","06","Weapons",
"wp","07","Weapons",
"wp","09","Weapons",
"wp","0b","Weapons",
"wp","0c","Weapons",
"wp","0d","Weapons",
"wp","0e","Weapons",
"wp","0f","Weapons",
"wp","10","Weapons",
"wp","11","Weapons",
"wp","12","Weapons",
"wp","13","Weapons",
"wp","14","Weapons",
"wp","15","Weapons",
"wp","16","Weapons",
"wp","17","Weapons",
"wp","18","Weapons",
"wp","19","Weapons",
"wp","1a","Weapons",
"wp","1b","Weapons",
"wp","1c","Weapons",
"wp","1d","Weapons",
"wp","1e","Weapons",
"wp","1f","Weapons",
"wp","20","Weapons",
"wp","21","Weapons",
"wp","22","Weapons",
"wp","23","Weapons",
"wp","24","Weapons",
"wp","25","Weapons",
"wp","26","Weapons",
"wp","27","Weapons",
"wp","28","Weapons",
"wp","29","Weapons",
"wp","2a","Weapons",
"wp","2b","Weapons",
"wp","2c","Weapons",
"wp","2d","Weapons",
"wp","2e","Weapons",
"wp","30","Weapons",
"wp","31","Weapons",
"wp","32","Weapons",
"wp","33","Weapons",
"wp","34","Weapons",
"wp","35","Weapons",
"wp","36","Weapons",
"wp","37","Weapons",
"wp","38","Weapons",
"wp","39","Weapons",
"wp","3a","Weapons",
"wp","3b","Weapons",
"wp","3c","Weapons",
"wp","3d","Weapons",
"wp","3e","Weapons",
"wp","3f","Weapons",
"wp","40","Weapons",
"wp","41","Weapons",
"wp","42","Weapons",
"wp","43","Weapons",
"wp","44","Weapons",
"wp","45","Weapons",
"wp","46","Weapons",
"wp","47","Weapons",
"wp","48","Weapons",
"wp","49","Weapons",
"wp","4a","Weapons",
"wp","4b","Weapons",
"wp","4c","Weapons",
"wp","4d","Weapons",
"wp","4e","Weapons",
"wp","4f","Weapons",
"wp","50","Weapons",
"wp","51","Weapons",
"wp","52","Weapons",
"wp","53","Weapons",
"wp","54","Weapons",
"wp","55","Weapons",
"wp","56","Weapons",
"wp","57","Weapons",
"wp","58","Weapons",
"wp","59","Weapons",
"wp","5a","Weapons",
"wp","5b","Weapons",
"wp","5d","Weapons",
"wp","5e","Weapons",
"wp","5f","Weapons",
